date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc
2016-05-05,12:47:42,Bol,Singles,ITF Women,32,Ani Vangelova,Polona Rebersak,1,srsRSS;SSsS;srDSrr;RDRr;SrsSs;rrRR;DsSSS;SRssDS;srsRSRrSss.SRRSRr;DRsSSDsS;rRSrR;DSrrr;srsrSS;SRsRrr;srSSrRSS;srsRRr;SrSSRS.sSSs;srSRSs;rSSDrR;DSSss;sSss;RssSs;DDRSD;SSrSrs,6-3 3-6 2-6,1,R16,Clay,02:23:18,BUL,SLO
2016-05-05,12:59:12,Santa Margherita Di Pula,Singles,ITF Women,32,Karman Kaur Thandi,Valentine Confalonieri,1,SSARDRSrrsSRSs;sDDsSs;rSRRSD;sRrRR;srRsRSSRDr;SRsRSs;SssDDS;SsSS;RrSSrD.SRRSDR;DDsSrSss;DSsSA;ADsSS;SsRRRR;ssSRA;RRSRSR.DSDSrD;RrSRr;rRRSR;RrRD;SSrRRD;SRRRr;SSsS;sSrsrRDD;SrsSDs,6-3 1-6 3-6,1,R16,Clay,01:56:41,IND,ITA
2016-05-05,13:03:54,Tunis,Singles,ITF Women,32,Stephanie Foretz,Myrtille Georges,1,RRsRR;SSsS;rsRsSrSrSS;SSDRDSRsss;RDSsRSSs;SRRsRr;sSss;RSsSRS;SrRDr;RSSsS.RrSrR;SssRS;RRsSrSSrSS;RrsSSS;rrsrsr;SRsDDsrR;SDRrr;SSRRRSSrrSSS,4-6 2-6,1,R16,Clay,01:17:59,FRA,FRA
2016-05-05,13:24:39,Bol,Singles,ITF Women,32,Sofia Kvatsabaia,Maria Mateas,0,RsRSRr;RSRSSDSRSS;SSDRSS;SSDSDS;RsSrsRRSrR;SrDSSs;RRSRsR.SsRSDRSS;SSRsRS;RRsDD;sRRsDsSRSrSS;RRSSsrrr;SSArrS;RRRSSsRSsRRD.RDrR;SsSA;RDRSr;DrRD;RSRDR;RDRsR;SSRSRRSs;sRsSS;SSRSS;sSSrRS,6-1 1-6 6-4,1,R16,Clay,02:27:53,GEO,USA
2016-05-05,13:42:38,Gyor,Singles,ITF Women,32,Pia Konig,Luca Nagymihaly,1,rsRSSRSrrr;SSSRs;SRSSS;sSrSs;RSRSRSrR;RRSRsSRSSRRR;SRRRR;RsssDRsrRR;SRSrSS;RsSSS.SRRRsr;RRRsSSsRsS;sRRSss;SSSRS;rSsRrSRR;RSSSS;RRRR,4-6 1-6,1,R16,Clay,01:10:11,AUT,HUN
2016-05-05,14:09:03,Sharm El Sheikh,Singles,ITF Women,32,Ola Abou Zekry,Jawairiah Noordin,1,rRrr;SSss;DDSsSS;RSRRR;SrRSsRRSSS;rSrDSr;SRRRSsRD;sRRRSSsRSS;SSSS;RSSSS;sDSRSS;SRrrr.SRsSs;SSSRRrRsDr;SsRSs;SsSs;RrRSSsRSSS;RRSRSSRSRr;SsRSs,5-7 1-6,1,R16,Hardcourt,01:35:26,EGY,MAS
2016-05-05,14:14:48,Gyor,Singles,ITF Women,32,Karolina Novotna,Guadalupe Perez Rojas,0,DssrsDrsSS;rSSss;SRrrD;SsrRSRRR;RSSrSrSrsRSs;sRSRRr;RSRSsrSS;RSSsRrRR.ssRrSRrD;RSSSRDrsRR;srSRRR;RDSSrssDSS;RrrsR;SsSA;rSSRss;SDsSS.SsrsS;rSsSS;RSRRr;sSSRs;SsRRrr;SRSArs;DRrr,2-6 6-2 6-1,1,R16,Clay,02:09:39,CZE,ARG
2016-05-05,14:40:25,Bol,Singles,ITF Women,32,Ani Mijacika,Magdalena Pantuckova,0,DDsRR;SsRSS;SSsS;rSRSSs;SsSS;rSDRsSSRsrRsSs;RsSArRSs;SRsSS;SRRSRSRR.RRRR;RRrR;SRSSS;sSsRRs;SSSS;SsRRRR;SrSrRSsS;RrSSSrsRSs;rRRD;RRSSRr,6-3 6-4,1,R16,Clay,01:13:47,CRO,CZE
2016-05-05,15:06:01,Tunis,Singles,ITF Women,32,Irina Khromacheva,Cristina Dinu,0,Ssss;rSRrSr;SRsrSRRSsA;SrrRR;rSSDRsRSsrrR;SrsrRsSA;RSARRSrR;sSSs;AsrrSs;RRrr.RSsRSs;SSrrsS;sRssrRSRRSDSSs;SSrrSS;SssS;rrsSRSSRrSDr;SSDsS;DRsRr,6-4 6-2,1,R16,Clay,01:27:08,RUS,ROU
2016-05-05,15:11:36,Cagnes-Sur-Mer,Singles,ITF Women,32,Pauline Parmentier,Anne Schaefer,0,SSRSs;RSRRD;sSsRDs;SrSRRSrr;SSsRS;ssRSS;RSSrSRRR;RRsSSS;sSss.SSsA;SsrSrS;rSRRsR;DRSrsR;rSSSS;sSDSS;SSsS;SRRSSrSS;RRSsSRSs;RRrr.DSRSRR;SsRrSS;RSSrRSSRrSSRRr;SsDARs;SSDSRRSRSs;ssSs;SSRRRR,6-3 4-6 6-1,1,R16,Clay,01:49:15,FRA,GER
2016-05-05,15:13:35,Tunis,Singles,ITF Women,32,Anastasiya Komardina,Romina Oprandi,1,sRssS;SsRDsS;DRSrSD;SrSSs;RRSSRARssDrSSRDssS;rsSSS;sSAs;SSSs;DSsAA;SRSSA.DSSDRSSRRSDsrSrR;SrRrSSsS;RRsRr;SSsS;DsDsRR;sSRSrDSRRD;RRsrSArR,4-6 1-6,1,R16,Clay,01:22:15,RUS,SUI
2016-05-05,15:17:23,Gyor,Singles,ITF Women,32,Bianka Bekefi,Cornelia Lister,0,RRDsSR;rSsSS;sSSS;RSRSRR;DRSRsR;SSRrSRSRrSSS;SSRrSS;SRSSrS;SrSRrr.SARRSrRSRr;ssSs;sSSS;sssDS;RRSSSRSs;SrSrDSAS;SAsS;RrSSSS;RRSRsSRR.SSRsRS;SrSSrS;RDSSSs;DRsrAR;srrSsS;rRRSsR;DSSRRr;RSsSS;sSsS,3-6 6-3 6-3,1,R16,Clay,02:09:19,HUN,SWE
2016-05-05,15:28:45,Bol,Singles,ITF Women,32,Eva Rutarova,Anastasiya Fedoryshyn,0,sRsSRS;SsSS;rSRrSsSS;SSrSs;sRRDr;RrssSS;ASRrSRSs;SRRrSr;RrSrR;ssSrs.SrSRSRSs;SrRsSRSS;sSrrsRsrSS;sssRRS;srrrr;SRRSrR;RSSSRRSS;RSSsrS;DSrRR;SSRSrS,6-4 6-4,1,R16,Clay,01:28:39,CZE,UKR
2016-05-05,16:07:24,Indian Harbour Beach,Singles,ITF Women,32,Anna Tatishvili,Sanaz Marand,0,SSrSRs;SSAs;SRrSRR;rSSRsrsRSrsS;RSSSS;RsSRRSSS;SSsS;SRRrSSDR;RSSsS;RSSRss;rRsSRSSs;SrrrR.sSSS;SRRsSrSS;DDDR;RRrR;sRsss;SSRsS;DSSSS;sRRSRR;SRSRrSRsDr;rsSrsRSRrSRSSRRR,7-5 6-4,1,R32,Clay,01:45:09,USA,USA
2016-05-05,16:08:13,Indian Harbour Beach,Singles,ITF Women,32,Jessica Pegula,Grace Min,0,RSSrSrsS;RrSSSS;SrrsSs;sRSsS;RrsSss;rrRsSr;rrRSSr;SSsrS;SRsrSS;RRsRr.SrsrSRSRRr;RrrR;RDrSR;RSSSS;SSRsS;RRRSr;srSsS;rSRsSRRSsS;RssSRS;DSsSrS;SRsSrDRsSRsrDSRsSRrR;sDSSS.RDRr;sSss;srsrrSSrSs;RsArrSSS;rsrsRSRR;RSSSS;rssrDD,4-6 7-5 6-1,1,R32,Clay,01:58:47,USA,USA
