date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc,server1b,server2b,server1b_ioc,server2b_ioc
2017-01-09,1:13:58,Sydney,Doubles,WTA,16,Katarina Srebotnik,Anna-Lena Groenefeld,1,rRRD;SDDssS;RRSRr;SDRSSRs;SsSs;SRADSS;rrssss;RRSSRR;SSRrrSR.sDDRAD;ssRSS;RSSRRSS;sSsRDRS;RSDsSS;SRRsSS;SRSRSRS;RrRR;DSSSrS;sSSs;rSSSs;SSSS;S/Ss/rr/sR/DA/S.r/Rr/RS/SS/rR/DR/SD/SS/AR,3-6 7-6(3) 7-10,1,R16,Hardcourt,01:43:16,SLO,GER,Saisai Zheng,Kveta Peschke,CHN,CZE
2017-01-09,5:12:05,Sydney,Doubles,WTA,16,Oksana Kalashnikova,Madison Brengle,0,RsRSDD;rrRSsSR;RRsRR;SSDSS;sRrRSR;DSSrRsS;SsRRSRR.SSSs;SSRSS;RRRr;RSsDSRD;RrRSSSr;rSSSRs;SsSs;SSRDRR;SRSSrRS;rSSSS;RSRDR;RRSRSR;s/rs/sR/SR/RS/SS/r.RRR/sS/SR/RR/SR/rS/SS/RS/S,6-1 6(5)-7 10-8,1,R16,Hardcourt,01:25:50,GEO,USA,Barbora Krejcikova,Arina Rodionova,CZE,AUS
2017-01-09,8:13:29,Sydney,Doubles,WTA,16,Martina Hingis,Kateryna Bondarenko,1,SrSSs;RRRsD;SSSs;SSSRS;SSss;RRSSSs;RrSSSs;RsRrSD.sRSRSs;SrSrss;RSSArDS;sSsS;rArSSS;RRSRAR;SrSSS;SrSSRS;SSSS,2-6 3-6,1,R16,Hardcourt,00:52:51,SUI,UKR,Coco Vandeweghe,Yulia Putintseva,USA,KAZ
2017-01-10,3:14:13,Sydney,Doubles,WTA,16,Anna-Lena Groenefeld,Vania King,0,SSRSs;RRSSAS;DRRR;RSSRSS;SrSrSRS;sSrrSA;DSrrSSS;RrDSR;SRSSRS;SsSRS;RRrsSr;SRrSSS.SsRSRRS;RsSsRRS;sRrDr;SSsrS;SSRRSrR;sRrRSSr;SsDSS;SSSDs;rSrRR,7-5 6-3,1,QF,Hardcourt,01:20:34,GER,USA,Kveta Peschke,Yaroslava Shvedova,CZE,KAZ
2017-01-10,4:42:51,Sydney,Doubles,WTA,16,Sania Mirza,Andrea Hlavackova,0,SSSS;ssRRRss;rSSSRS;SrSSRS;SArrSS;RSRSsRR;SsDSS;ArsSS;RRRR;SSSs;SRSsRRR;SrSrSS.SSrSRrS;SRRSsS;SRRSRSS;RrrSSsr;SSSS;DSrRR;DSRRSSS.S/RS/rR/RS/RS/SS/sR/SA,5-7 6-1 10-5,1,R16,Hardcourt,01:22:50,IND,CZE,Barbora Strycova,Shuai Peng,CZE,CHN
2017-01-10,4:57:01,Sydney,Doubles,WTA,16,Timea Babos,Raquel Atawo,1,sDrSSRS;DsRRSD;SSsS;RsSSS;SSSA;sSRSS;SSsS;srSRsA;RsASs.SSSs;RSSsrrS;SSRDsRR;ARSsS;SRsSs;RSDSSRS;SRRRR;Ssss,3-6 2-6,1,R16,Hardcourt,00:57:56,HUN,USA,Anastasia Pavlyuchenkova,Yi-Fan Xu,RUS,CHN
2017-01-10,8:14:00,Sydney,Doubles,WTA,16,Liezel Huber,Daria Gavrilova,1,RSSSS;SSSS;SRSss;rRSRAr;SrRSsS;RRRR;RSSsrs.RRSRR;SRSsrS;SRASRrr;RSSSS;sAsRRS;rRSSRr;SRSrRsS;rRRSr;RRsSRsS;SRSSrRD.S/Rr/rR/rr/sS/SR/SR/sS/RS,6-1 4-6 7-10,1,R16,Hardcourt,01:10:44,USA,AUS,Maria Sanchez,Daria Kasatkina,USA,RUS
2017-01-11,8:11:48,Sydney,Doubles,WTA,16,Sania Mirza,Madison Brengle,0,SSAS;DsSSRRS;SSAS;RSRrSSR;RSDDSr;RSrRr;rSRSARr;RssSRRR;SssS.sSRDSS;RrDSR;RRSRSR;SRSSrS;sSsS;SRSSs;SRRRr;RRRSSss;RRSsSRS;SSDSS,6-3 6-4,1,QF,Hardcourt,01:02:20,IND,USA,Barbora Strycova,Arina Rodionova,CZE,AUS
2017-01-11,9:10:22,Sydney,Doubles,WTA,16,Timea Babos,Martina Hingis,0,SSSS;DSRRsss;ssRSRRr;rRRr;sSSrS;RSrSSS;SSRSS;SDSsS;DsASS;ARrSSrs;SRsSS;sRSSS;S/Sr/Rr/Sr/Ss/SS/Ss/SR/S.RrSrR;RRSRD;RsSRSS;RDDSSsR;RSRSRR;DSSrRSs;DRSSRD;RSSrrSR;rRRsD;RSrSRSA,7-6(7) 6-4,1,QF,Hardcourt,01:28:45,HUN,SUI,Anastasia Pavlyuchenkova,Coco Vandeweghe,RUS,USA
2017-01-12,7:12:55,Sydney,Doubles,WTA,16,Timea Babos,Andreja Klepac,1,SSSS;SRSSRDR;srRsSS;ssRrSS;SASs;RsSsRRs;SSDRss;SSSS;sSSs.SRRSDSA;rRSSSs;RrSRSr;SSsS;SssS;SrRSss;RSSRRsS;SsSrRS;RrRSSSS;rsSRSS,3-6 4-6,1,SF,Hardcourt,01:09:43,HUN,SLO,Anastasia Pavlyuchenkova,Maria Jose Martinez Sanchez,RUS,ESP
