date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc
2016-06-07,16:04:30,s-Hertogenbosch,Singles,ATP,32,Dudi Sela,Dennis Novikov,0,SSsS;srssRS;SRSsrs;sSRrSs;SsrSS;SSrRrSsS;SDDrR;rRSRSR;RRSSSS;sRsArRSS;SSAS;rsRsrD.SRSSA;RrAsSRsS;SssDS;rrARSSDAsS;SSDss;rsSDss;RRsrsr;rArrR;SsADRA;SrSSs;ssRSS;SSRSs;r/Sr/DS/RS/sr/Rs/Ar/A.Srsss;SSARS;SsSRA;SsSrS;RrSDR;sDSSs;SSADrS;SRSArrRSrD;sSAs;ADsRsS;SSAs;rSSrSS;S/Ss/ss/SS/As/Ss/R,7-5 6(6)-7 7-6(5),1,R32,Grass,02:18:17,ISR,USA
2016-06-07,16:10:45,Stuttgart,Singles,ATP,32,Pierre Hugues Herbert,Philipp Kohlschreiber,0,SrRAsRss;RSrSAS;SSADS;sSss;rsRsrR;AsAs;SRRsSS;ARsARS;SrASs;SsrSS.SrrrAsss;SSrrSS;SRrDr;DSssS;SRRsRsRR;sAAS;SDrrD,6-4 6-1,1,R32,Grass,01:02:06,FRA,GER
2016-06-08,11:10:50,s-Hertogenbosch,Singles,ATP,32,Nicolas Mahut,Paul-Henri Mathieu,0,ssRSs;rsAsA;sRsRDR;SsArrS;SRsRSS;SSRArS;SSSRS;RrsSsS;SrSAS;SSss.SrSss;RSrsrsrR;SSADS;rRRsR;SRSSrA;rsDSsA;SRDsSS.RRSrSSsS;SSRss;rsSSRS;SSsA;SSSA;DSSsrA;SrRRR;SSArrrArSRRASS;rASAS;SsDSS,4-6 6-1 6-4,1,R16,Grass,01:45:49,FRA,FRA
2016-06-08,13:18:39,Stuttgart,Singles,ATP,32,Michael Berrer,Florian Mayer,1,srSSDS;SSrsS;srSrAS;sARsRA;ArrRR;RRsSSS;SRSSS;DSSSrrSS;ARSrRr.RSARAS;SSSRs;sADSRRRR;ASSS;SSsRS;SRrASrSS;SsSS;SRRRSSsrSS;RASRSRRR.RRRSr;RSSRRSSRSS;rAASA;sSSS;rARrSSSRRSSS;SASs;srRSSA;ADrASS;DDSSsrSrrSSRSS;RSSSrs,3-6 6-3 4-6,1,R16,Grass,01:44:42,GER,GER
2016-06-08,13:49:15,s-Hertogenbosch,Singles,ATP,32,Bernard Tomic,Aljaz Bedene,1,SSSS;SsRSS;SrSrsA;SrASS;AsDAs;SssS;ssRSRA;SSRsDA;SRSRsrDAsRsS;ARrsSrrArr.SsSRS;srRRASARSS;RsSSS;sRRSSA;SRAARRSrSRsS;ARsDSrRR;RRRssr;RARRr;RSAsRs,4-6 3-6,1,R16,Grass,01:10:27,AUS,GBR
2016-06-08,14:08:43,Stuttgart,Singles,ATP,32,Philipp Kohlschreiber,Denis Kudla,0,rASDsS;SSsS;rssSA;rSARSs;AARSs;ssSS;ASSs;RsArss;AsSS;ssSrRs;SrrSrSSS;DSrrSr.SRSss;RSSRDr;RrsDSsSS;SSrRss;SARArs;RSsSS;rrrD;rrSRSR;ARSSRrrsArSs,7-5 6-3,1,R16,Grass,01:16:44,GER,USA
2016-06-08,17:46:52,s-Hertogenbosch,Singles,ATP,32,Steve Johnson,Stefan Kozlov,0,SSSrS;rRSSsRsRsDRsSA;SssRrRrSRssRrsRSRD;SRRSAS;SSrrsRRAARSs;SrSsS;AsSS;rrSsrsrsSs;SrRRD.SAss;rrSSRr;sssrrRRr;SsrsS;SsSDRs;SrSrRR;ssSS;SSsrrS;RrDSssDsrr;RRrsR,6-3 6-4,1,R16,Grass,01:25:41,USA,USA
2016-06-09,11:09:40,Stuttgart,Singles,ATP,32,Sam Groth,Dominic Thiem,0,ADARsA;SssS;AsAS;rsSADs;sAAA;sSss;SSrSs;rDASss;ASSRs;sSrRARSs;ssDAS;SRsSs;s/SS/RS/SS/rs/s.sSADs;ArSAS;SDsAS;DAsAA;SDsAs;SDRsrAAA;SAsA;rSASrs;RsArss;Ssss;SSSs;ArSDSDSs;r/DR/sS/Ar/AA,7-6(3) 7-6(2),1,R16,Grass,01:30:44,AUS,AUT
2016-06-09,11:15:19,s-Hertogenbosch,Singles,ATP,32,Gilles Muller,Guillermo Garcia-Lopez,1,sSAs;SSRSs;SARRsA;DSrSAS;rAAss;DSSsRS;RAsAS;RASsDrDSrSss;ssRrRSSS;SsSs;RAsAs;RsrSSrrR.rASSA;rsRDSr;sArAs;sRSSS;SDSsS;SrRrSssRrr;rRSsrSSs,5-7 1-6,1,R16,Grass,01:18:17,LUX,ESP
2016-06-09,11:15:39,Stuttgart,Singles,ATP,32,Jan-Lennard Struff,Gilles Simon,1,rrASSrSs;SsSS;ARrrSR;RsRSsS;SASrS;srSSS;srDSAS;rSSSS;SRRDsssS;RRSsss.SsRSS;SAsS;ssArs;SDssS;SADSrRSrSS;SsAA;SSRrsS;RSsSs;RSsSRS;rRrsSR.rrsRr;SsrrSS;RDrASR;sAsDS;sSrrSRRSSrsS;RsrsSrSs;SSsS;SArSA,4-6 6-4 2-6,1,R16,Grass,01:40:42,GER,FRA
2016-06-09,12:49:50,s-Hertogenbosch,Singles,ATP,32,Daniil Medvedev,Adrian Mannarino,1,SSsA;sSsS;SRSrss;SrSAS;SsrSs;DSARSRsS;SsSS;SsSs;SrRRSR;SssA.rsrrAD;sSSS;RsSSs;rArssA;SAAS;SSSS;RSSSrrSrRr;SsRSs,4-6 2-6,1,R16,Grass,00:58:16,RUS,FRA
2016-06-09,13:47:52,s-Hertogenbosch,Singles,ATP,32,Igor Sijsling,Ivo Karlovic,0,SsDSrrSs;srSrSA;ssrRSS;sRSSRS;sSSS;srDASRSs;SSrSS;DARSSA;ssSS;sSAA;SrDSSrSs;SrRsSs;r/SS/SS/Sr/SR/SS.ssRSS;sSSS;AAAA;RsSDSRss;rARArASA;sSRSRs;SSrARA;RSSSS;ARRSsA;ASRss;SsSS;sSsA;S/sS/AS/SR/Ss/Ss/A,7-6(4) 7-6(5),1,R16,Grass,01:24:46,NED,CRO
2016-06-09,14:44:44,Stuttgart,Singles,ATP,32,Marin Cilic,Radek Stepanek,0,SsSA;SssA;SrSRsRsrAS;rSSsRS;sASS;SDSsDA;ssAS;SASS;srAsDA;RSSSDS;rAsSS;SsSA;S/sr/RR/sA/sS/sS.SsDAS;RrsSrsss;SDsADS;SsrrsA;RSSrSRrsSS;SrsSrs;SrSSs;SAAs;SrArSA;SRSAA;rSrsAS;Srrrr,7-6(4) 7-5,1,R16,Grass,01:42:13,CRO,CZE
2016-06-09,15:32:20,s-Hertogenbosch,Singles,ATP,32,Dudi Sela,David Ferrer,0,rrrR;DrSRsr;DRRsR;SsSS;SSSS;RRSsRsSrRr;rrsrSsrD;SsRSS;SrSRSrSrss;SDRSrSRsrSSS.ssSRDRSrrR;ssrSrS;RrrSsR;SRRrSSSS;sSSRs;RRsRSsRR;srsRSS;RRSsSRSRRSAS;rsSSA;SDSsRRSs,6-4 6-4,1,R16,Grass,01:28:32,ISR,ESP
2016-06-09,16:52:26,Stuttgart,Singles,ATP,32,John Millman,Juan Martin Del Potro,1,sSsS;RsASA;ssDRSS;SSsS;RSsSS;SrSSS;srrAsRRR;sSSS;ssrSS;SsRSRS.RSRsrSSRrA;ssRSS;ssRsRS;SRRRsR;ARrSSSsD;SSARs;rrSSSS;AASS;RRrR;AssRrrSS,4-6 4-6,1,R16,Grass,01:22:02,AUS,ARG
2016-06-10,11:09:11,Stuttgart,Singles,ATP,32,Mikhail Youzhny,Dominic Thiem,0,RSSrRSRR;ASDsS;RsASS;DSSDRD;SSRsS;rSSsrS;rsSSs;RRrSr;sRSARS.sAAA;SSrrsS;sSSA;SRSrAs;ARRsRSSA;SSSs;ssSS;sSSS;ArDssS;RssRrr.ASSs;RsSrSRSA;ArrsSS;SAsS;sDSsS;RssSS;SSDsS;rSRRSsSrSA;AsSDS;sSSS;DSRSrSSS;RSRRSr,3-6 6-4 7-5,1,QF,Grass,01:50:47,RUS,AUT
