date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank,server1b,server2b,server1b_age,server2b_age,server1b_ioc,server2b_ioc,server1b_rank,server2b_rank
2013-06-24,12:40,Wimbledon,Doubles,ATP,Main,Santiago Giraldo,Ivan Dodig,1,SRSRRR;RSRRSR;RRSRR;RRSRR;SSSRRS;SRRSSS;RSRSRR;SSSRS;RRSRR.SRRRR;RRRR;RRSRR;SRRRSR;SRRRSR;RRRR;RRSRR;RRRR;RRRSR;SRRRSSRR;RRSRR;RSRRSR;R/SR/SR/RR/SS/R.RSSRRR;SRSSRS;SRRSRR;RRRR;RSSRRR;SRRSRR;RSRSRR;RSSSS,3-6 6(3)-7 2-6,0,R64,grass,1:32,,25.57,35.15,,,,,Michael Russell,Marcelo Melo,35.15,29.75,,,,
2013-06-24,14:30,Wimbledon,Doubles,ATP,Main,Aljaz Bedene,Sanchai Ratiwatana,1,RSRRR;RRSSSS;SSRRRSSRRSSRSS;RRSSRSSS;RSRSRSSRRR;SRRSRR;RRRR;RRRR;SSRRRSRR.RSRRSSSS;RRRR;SRRRSR;RRRSR;RRRR;RRSRR;RRRR;RSSRRR;SRRRR;SSRSRRRR.SRSRRR;SRRRR;SSSRRS;SSSRS;SRRRR;RRRSR;RSRSRSRR;SRRRR;SRRSRR;RRRR;RRRR;SRSRSS.RRSRR;RRSSRR;RSRRR;SRSSS;SRRSRR;RRRR;RSSRRSRR;SRRRR;RSSSS;RRRR;RRRR;RRRR;S/SS/SS/RR/SR/R,3-6 4-6 7-5 6(3)-7,0,R64,grass,2:21,,23.93,,,,,,Grega Zemlja,Sonchat Ratiwatana,,31.42,,,,
2013-06-24,18:40,Wimbledon,Doubles,ATP,Main,Purav Raja,Nicholas Monroe,1,SSSS;SSSS;SSRRRSSS;SRRSRSRR;SSSS;RRRSSSSS;RSSRSRRR;RRSSRSSRRSSS;SSSS;SSRSS;RSSSS;RSSSS;R/RR/SR/RS/SS/SR.SRRSRR;RRSSSS;SRRRSSRR;SRSRSS;SSSS;SRSSRS;RSSSS;SSRSS.SRSSS;SSRSRRSRSRSRSS;SRRSRSSS;SRRRSR;SSRSRS;SSSS;SSRSS;SRSSS;RRSSSRSS.RSSSRRSS;SRRSRSRSSS;RSRRSR;SSSRRS;SSRSS;RSRRSR;SSRRRSRR;SSSS;SRSSRS;RSSSS.SRSSS;SRSSRRSS;RRSRSSRSSS;RRSSSRRSSS;SRRSRR;SRRRSSSS;SSSS;SRSSS;SRSSS;SSSS,7-6(4) 6-2 3-6 4-6 4-6,0,R64,grass,3:18,,27.55,27.31,,,,,Divij Sharan,Simon Stadler,27.31,29.93,,,,
2013-06-24,18:50,Wimbledon,Doubles,ATP,Main,Paul Hanley,Philipp Marx,0,SSSS;SRSRRSSS;SSRRSRSS;RRRSSR;SSSS;SSSS;SSSS;SSRRRSSS;RRSSSS.SSRSS;SRSRRR;SSSS;RSSSS;SSSS;RRSRR;SRSRRSSRSRSRSS.SRSSS;SSSS;SRSSS;SRRRSSSS;SSRSRS;RSSSS;RSSSS;SSSS;SSSRS;SSSS;SSSS;SSRSRRSS;S/RR/RS/SS/SR/SR/S.RSRSSS;SSSS;RRRSSSSS;RRSRSSSRRR;SSSRS;SSRSS;SRRRR;SSRSRS;SSSRRRSRRR;RSSSS,6-3 1-6 7-6(5) 6-4,0,R64,grass,2:19,,35.61,24.41,,,,,John Patrick Smith,Florin Mergea,24.41,28.41,,,,
2013-06-25,12:40,Wimbledon,Doubles,ATP,Main,Santiago Gonzalez,Paolo Lorenzi,0,SSRSS;SSSRRS;SRRSSS;SRSSRS;RSRRSSSS;RSSSRS;SSSS;SSRSRS;SRSSS;SRRRSR.RSSSS;SRRRR;RSSSS;SSSS;SSSS;RSRSRSSS;RSSRSS;SRRSSS;RRSRR;SRSSS;SSRSS;SSSRS;S/SR/SR/RS/SS/R.SRSRRR;SSSS;RSRRSSSRSS;SSSS;SRRSSS;RSSSS;SRRRSSSS;SSRSS;RSRSSS;SRRSRSSS,6-4 7-6(3) 6-4,0,R64,grass,1:44,,30.33,31.86,,,,,Scott Lipsky,Benoit Paire,31.86,24.13,,,,
2013-06-25,14:40,Wimbledon,Doubles,ATP,Main,Xavier Malisse,Evgeny Donskoy,0,SSRRRR;RSSSRRSRRSSS;SSSS;RRSRSSRSSRRSRR;SSSS;SSRSS;SSRSS;SSSS;SSRSRS;RSSRSS;SSSRRRRSRSSS;SSRRSS;S/SR/SS/RR/RR/SS/S.SSSS;RSSRSS;RSSRSS;SSSRRS;SRSRSRSS;SSSRS;SRSRSS;SSSS;RRSSRR;SRSRRSSRRR;SRSSS;RSSSS;S/SS/SS/RR/SR/SR.SSSS;SRRSRR;SSRSS;RSSRSRRR;RSSSS;RSRSRR.RSSSS;SSRRSS;SRSSS;SRRSRR;SSRRSRSS;SRSRRR;RRSSSS,7-6(5) 6(4)-7 6-0 6-1,0,R64,grass,2:19,,32.93,30.21,,,,,Ken Skupski,Andrey Kuznetsov,30.21,22.34,,,,
2013-06-25,18:15,Wimbledon,Doubles,ATP,Main,Pablo Andujar-Alba,Frantisek Cermak,1,RRRSSSRSSRRR;SRSSRRRSRR;RSSSRRRR;RSSRRR;RSSRSRRSRR;RRSRR;RRRSSSRSSRRR;RSSRSRRR;RRSSRR;RSSRRR;RRSRR;RSRSRSRR;R/SR/RR/RR/RS/RR/RS/SR/S.RSSRSS;RRSSRSRSSRRR;RSSRRR;RRRR;RRSSRSRSSRRR;RSRSSS;RSSRRSSRSRRR;SRRSRR;RRRR;RRRSR;RRSRSR;RRRR;S/RR/SR/RS/RR/SS/R.SSSRRRRR;RRRR;RSSSRRSRSRRR;RRRR;RRRR;RRSSSRSRSS;RSSSRS;RRRR;RSRRR;RRSSSRSS.RRSRR;SRRSRR;RRRR;SRRRR;RSRRR;RRSRR;RRRR;SRRSRR;RRRR;RRRR;RRRR;SSSS.RRSRR;RRSRSSSRRSRSRR;RSRSSRRR;RRRR;RSRRR;SRSRRSSS;SRRSRR;SSSRS,7-6(7) 7-6(5) 4-6 5-7 2-6,0,R64,grass,3:57,,27.42,30.06,,,,,Guillermo Garcia-Lopez,Michal Mertinak,30.06,33.71,,,,
2013-06-25,18:30,Wimbledon,Doubles,ATP,Main,Alexander Peya,Eric Butorac,0,SRRSRR;RSSRRR;SRRSSS;RRRR;RSSRSRSS;SSRRRSSS;SRRSRR;SRRRR;RRRR;RRSSRSRR.RRSRR;SRRRR;SSRRRR;RRRSR;RSRRSR;SRSSRS;SRRRSSRR;RRRR;RRSRR.RSRRR;SRSRSRSS;RSRRR;RRRR;RSSRRR;RRRR;RRRSR;SRRSRR;RRSRR.SRSRSS;RRRR;SRRSRR;SSRRRSRSSRRR;RSRRR;RRSSRR;RSSSS;RSRSSS;RSSRRR;RRSSRR,6-4 3-6 6-3 6-4,0,R64,grass,2:12,,32.99,31.32,,,,,Bruno Soares,Andy Ram,31.32,33.21,,,,
2013-06-26,12:40,Wimbledon,Doubles,ATP,Main,Denis Kudla,Andre Begemann,1,SRSSS;SSSS;RRRSR;SSSS;RRRSSSRSRR;SSRSS;RSSSRS;SRSSS.SRRSRR;RRRR;SSRRRSSRSS;SSSRS;SSRSS;SSRSS;RSSRSS;SRSSS;SRSRSS;SSRSS;RRRSSSSS;SSSS;S/RR/RR/RS/SS/SR.SSSRS;SSSS;RSSRSS;RSRSSS;SSRSRS;SRRRSR;SRRSRSRR;RSSRSS;SRSSRRRSSS;RRRSR.SSSS;RRRR;SSSRRS;RSRRSR;RRSSSRRSRSSS;SRSSS;SRSRRSSS,2-6 7-6(4) 4-6 1-6,0,R64,grass,2:08,,20.86,,,,,,Tim Smyczek,Martin Emmrich,,28.52,,,,
2013-06-26,12:45,Wimbledon,Doubles,ATP,Main,Leonardo Mayer,Mahesh Bhupathi,1,RRSSRSRR;RRSRR;RRRR;SSRRRR;RRRR;RSSSRRRSSS;SRRRR;RSSSRS.RSSSRS;SRRRR;RRRR;RSRSSRRSSRSRRSRR;RRRR;RSRRSR;RRSRR;RSRRSR;SRRRR;RSSSS;SSRRSS;RSRSSS;R/RR/RR/RR/RS/RS/S.RRRSSR;SRRRSSRR;SRSSRRSRRR;RRRR;SRRRR;RRRR;SSRSRS;RRRR;RRRSR;SRRRSSRSRR.SSSRRS;RRRR;SRRRR;SRSRRR;RRRR;RSRSRR;SRRSSS;SRRSRR,2-6 7-6(5) 4-6 2-6,0,R64,grass,2:39,,26.12,25.44,,,,,Albert Ramos-Vinolas,Julian Knowle,25.44,39.16,,,,
